
09:38:21.439 instance_id=19D97FB0F90 [info] Resolved entity: {:call, Kernel, :defmodule, 2}

09:38:28.236 instance_id=19D97FB0F90 [info] Resolved entity: {:call, Kernel, :defmodule, 2}

09:38:29.476 instance_id=19D97FB0F90 [info] Resolved entity: {:call, Kernel, :defmodule, 2}

09:38:32.235 instance_id=19D97FB0F90 [info] Resolved entity: {:call, Kernel, :defmodule, 2}

09:38:34.394 instance_id=19D97FB0F90 [info] Resolved entity: {:call, Kernel, :defmodule, 2}

09:38:36.762 instance_id=19D97FB0F90 [info] Resolved entity: {:call, Kernel, :defmodule, 2}

09:38:42.085 instance_id=19D97FB0F90 [info] Resolved entity: {:call, Kernel, :defmodule, 2}

09:38:47.475 instance_id=19D97FB0F90 [info] Resolved entity: {:variable, :children}

09:38:47.708 instance_id=19D97FB0F90 [info] Resolved entity: {:call, Kernel, :defmodule, 2}

09:38:49.072 instance_id=19D97FB0F90 [info] Resolved entity: {:variable, :children}

09:38:50.475 instance_id=19D97FB0F90 [info] Resolved entity: {:variable, :children}

09:39:07.943 instance_id=19D97FB0F90 [info] Resolved entity: {:call, Kernel, :defmodule, 2}

09:39:09.420 instance_id=19D97FB0F90 [info] Resolved entity: {:call, Kernel, :defmodule, 2}

09:39:10.140 instance_id=19D97FB0F90 [info] Resolved entity: {:module, LocalLiveView}

09:39:19.367 instance_id=19D97FB0F90 [info] Resolved entity: {:call, ClockLive, :render, 1}

09:39:19.741 instance_id=19D97FB0F90 [info] Resolved entity: {:module, ClockLive}

09:39:19.742 instance_id=19D97FB0F90 [info] No definition found for {:module, ClockLive} with Indexer.

09:39:19.894 instance_id=19D97FB0F90 [info] Resolved entity: {:module, ClockLive}

09:39:19.894 instance_id=19D97FB0F90 [info] No definition found for {:module, ClockLive} with Indexer.

09:39:19.899 instance_id=19D97FB0F90 [info] Resolved entity: {:module, ClockLive}

09:39:19.899 instance_id=19D97FB0F90 [info] No definition found for {:module, ClockLive} with Indexer.

09:39:19.908 instance_id=19D97FB0F90 [info] Resolved entity: {:module, ClockLive}

09:39:19.908 instance_id=19D97FB0F90 [info] No definition found for {:module, ClockLive} with Indexer.

09:39:19.916 instance_id=19D97FB0F90 [info] Resolved entity: {:module, ClockLive}

09:39:19.916 instance_id=19D97FB0F90 [info] No definition found for {:module, ClockLive} with Indexer.

09:39:19.925 instance_id=19D97FB0F90 [info] Resolved entity: {:module, LocalLiveView}

